underlying,identifier,instrumentType,instrument,contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE49300.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,49300,1152.25,-501.7,-30.33,1549.0,1598.45,1146.5,1149.0,6075,7633298.25,7633298.25,307130798.25,49831.85,263,405
BANKNIFTY,OPTIDXBANKNIFTY24-12-2024PE51000.00,OPTIDX,Index Options,BANKNIFTY 24-Dec-2024,24-Dec-2024,Put,51000,1614.95,279.55,20.93,1337.55,1615.6,1319.0,1602.65,6015,8929568.25,8929568.25,315694568.25,49831.85,3770,401
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024PE50200.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Put,50200,834.3,277.7,49.89,558.0,847.05,551.75,825.05,5940,3779621.9999999995,3779621.9999999995,301967622.0,49831.85,191,396
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE47600.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,47600,100.1,34.7,53.06,65.0,109.75,54.45,100.05,5820,466822.19999999995,466822.19999999995,277498822.2,49831.85,233,388
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE51400.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,51400,1499.85,479.75,47.03,1018.85,1560.75,1018.8,1507.0,5775,7359082.5,7359082.5,304194082.5,49831.85,875,385
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE54000.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,54000,3915.0,658.25,20.21,3247.5,3975.0,3247.5,3925.45,5760,21236371.2,21236371.2,332276371.2,49831.85,2935,384
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE55600.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,55600,5.5,-1.6,-22.54,6.9,6.9,3.15,5.5,5400,27162.0,27162.0,300267162.0,49831.85,126,360
BANKNIFTY,OPTIDXBANKNIFTY30-10-2024PE49000.00,OPTIDX,Index Options,BANKNIFTY 30-Oct-2024,30-Oct-2024,Put,49000,742.75,134.65,22.14,620.0,768.75,580.0,750.5,5325,3632022.7500000005,3632022.7500000005,264557022.75,49831.85,296,355
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024CE48700.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Call,48700,1180.0,-722.8,-37.99,1902.8,1902.8,1113.25,1174.4,5235,7571537.55,7571537.55,262516037.55,49831.85,167,349
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE58500.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,58500,4.0,0.8,25.0,3.05,5.0,3.0,4.85,5145,19808.25,19808.25,301002308.25,49831.85,349,343
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE49100.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,49100,1093.35,-347.25,-24.1,1404.5,1415.65,1050.0,1074.6,5145,6024074.699999999,6024074.699999999,258643574.70000002,49831.85,149,343
